AGEP,COW,SCHL,MAR,OCCP,POBP,RELP,WKHP,SEX,RAC1P
30.0,1.0,22.0,1.0,800.0,163.0,9.0,40.0,1.0,1.0
67.0,1.0,21.0,1.0,440.0,6.0,0.0,24.0,1.0,6.0
38.0,1.0,16.0,1.0,4020.0,303.0,1.0,40.0,1.0,8.0
26.0,1.0,16.0,5.0,5240.0,6.0,10.0,40.0,2.0,9.0
34.0,1.0,13.0,1.0,6250.0,303.0,0.0,50.0,1.0,1.0
18.0,1.0,16.0,5.0,5860.0,6.0,2.0,32.0,2.0,9.0
43.0,1.0,14.0,1.0,5240.0,6.0,12.0,40.0,2.0,1.0
56.0,6.0,21.0,1.0,3245.0,36.0,0.0,25.0,2.0,1.0
61.0,5.0,21.0,1.0,800.0,6.0,0.0,45.0,1.0,1.0
64.0,7.0,22.0,1.0,800.0,6.0,0.0,45.0,1.0,1.0
49.0,1.0,22.0,1.0,350.0,362.0,1.0,40.0,2.0,8.0
25.0,1.0,19.0,5.0,2350.0,217.0,2.0,25.0,1.0,6.0
43.0,1.0,22.0,1.0,230.0,6.0,0.0,40.0,2.0,1.0
66.0,3.0,18.0,3.0,3602.0,6.0,0.0,35.0,2.0,1.0
37.0,6.0,22.0,1.0,2640.0,25.0,0.0,35.0,2.0,1.0
41.0,4.0,22.0,1.0,2320.0,8.0,1.0,40.0,1.0,1.0
38.0,1.0,7.0,1.0,4020.0,303.0,0.0,40.0,1.0,8.0
39.0,1.0,16.0,3.0,4020.0,207.0,2.0,40.0,1.0,6.0
61.0,7.0,21.0,1.0,2710.0,6.0,0.0,40.0,1.0,1.0
32.0,2.0,21.0,1.0,800.0,6.0,0.0,42.0,1.0,1.0
66.0,1.0,21.0,3.0,5740.0,22.0,0.0,12.0,2.0,2.0
35.0,1.0,22.0,1.0,120.0,39.0,1.0,50.0,2.0,1.0
45.0,1.0,21.0,1.0,5140.0,6.0,0.0,40.0,2.0,1.0
59.0,3.0,21.0,5.0,1006.0,17.0,0.0,40.0,2.0,2.0
54.0,1.0,5.0,5.0,6050.0,6.0,0.0,40.0,1.0,1.0
66.0,6.0,18.0,1.0,6442.0,25.0,1.0,30.0,1.0,1.0
28.0,5.0,19.0,1.0,9825.0,6.0,17.0,75.0,1.0,6.0
20.0,4.0,19.0,5.0,3648.0,6.0,12.0,25.0,2.0,1.0
45.0,3.0,21.0,1.0,110.0,36.0,0.0,40.0,1.0,6.0
31.0,6.0,19.0,5.0,4251.0,6.0,12.0,40.0,1.0,1.0
22.0,1.0,21.0,5.0,4621.0,11.0,0.0,40.0,1.0,2.0
56.0,2.0,16.0,1.0,5860.0,301.0,1.0,25.0,2.0,1.0
36.0,1.0,13.0,5.0,4000.0,303.0,13.0,40.0,1.0,1.0
49.0,1.0,20.0,1.0,3255.0,217.0,1.0,20.0,2.0,6.0
66.0,1.0,21.0,1.0,3300.0,233.0,1.0,40.0,1.0,6.0
29.0,1.0,21.0,5.0,500.0,6.0,12.0,50.0,1.0,1.0
31.0,1.0,20.0,1.0,630.0,6.0,0.0,40.0,1.0,8.0
39.0,1.0,24.0,1.0,1760.0,6.0,0.0,40.0,1.0,1.0
21.0,1.0,18.0,5.0,5160.0,6.0,0.0,40.0,2.0,8.0
